'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_uu_g2','InvCoshPar_uu_g3','InvCoshPar_uu_g4','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_ud_g2','InvCoshPar_ud_g3','InvCoshPar_ud_g4','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_us_g2','InvCoshPar_us_g3','InvCoshPar_us_g4','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1','InvCoshPar_ss_g2','InvCoshPar_ss_g3','InvCoshPar_ss_g4'
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
1.01523,0.403497,-0.693951,-0.218828,0.118892,0.0226449,1.54972,0.0466369,0.949625,0.278608,-0.0202635,0.0145128,1.23199,-0.387833,-0.68051,-0.0819481,0.0196016,0.00422441,1.43005,0.917646,0.687039,0.196085,0.142064,0.0339439
1.01523,0.403497,-0.693951,-0.218828,0.118892,0.0226449,1.54972,0.0466369,0.949625,0.278608,-0.0202635,0.0145128,1.23199,-0.387833,-0.68051,-0.0819481,0.0196016,0.00422441,1.43005,0.917646,0.687039,0.196085,0.142064,0.0339439
1.01523,0.403497,-0.693951,-0.218828,0.118892,0.0226449,1.54972,0.0466369,0.949625,0.278608,-0.0202635,0.0145128,1.23199,-0.387833,-0.68051,-0.0819481,0.0196016,0.00422441,1.43005,0.917646,0.687039,0.196085,0.142064,0.0339439
1.01523,0.403497,-0.693951,-0.218828,0.118892,0.0226449,1.54972,0.0466369,0.949625,0.278608,-0.0202635,0.0145128,1.23199,-0.387833,-0.68051,-0.0819481,0.0196016,0.00422441,1.43005,0.917646,0.687039,0.196085,0.142064,0.0339439
1.01523,0.403497,-0.693951,-0.218828,0.118892,0.0226449,1.54972,0.0466369,0.949625,0.278608,-0.0202635,0.0145128,1.23199,-0.387833,-0.68051,-0.0819481,0.0196016,0.00422441,1.43005,0.917646,0.687039,0.196085,0.142064,0.0339439
1.01523,0.403497,-0.693951,-0.218828,0.118892,0.0226449,1.54972,0.0466369,0.949625,0.278608,-0.0202635,0.0145128,1.23199,-0.387833,-0.68051,-0.0819481,0.0196016,0.00422441,1.43005,0.917646,0.687039,0.196085,0.142064,0.0339439
1.17624,0.360212,-0.846261,0.0953081,0.144747,0.0358499,1.30951,-0.0838001,0.993325,0.125715,0.0230559,0.0204884,1.22283,-0.00262325,-0.614415,0.234671,0.0255768,0.00493966,1.49991,0.737896,0.564018,0.0550047,0.142777,0.0315632
1.17624,0.360212,-0.846261,0.0953081,0.144747,0.0358499,1.30951,-0.0838001,0.993325,0.125715,0.0230559,0.0204884,1.22283,-0.00262325,-0.614415,0.234671,0.0255768,0.00493966,1.49991,0.737896,0.564018,0.0550047,0.142777,0.0315632
1.17624,0.360212,-0.846261,0.0953081,0.144747,0.0358499,1.30951,-0.0838001,0.993325,0.125715,0.0230559,0.0204884,1.22283,-0.00262325,-0.614415,0.234671,0.0255768,0.00493966,1.49991,0.737896,0.564018,0.0550047,0.142777,0.0315632
